PIN_CD,STATE_ID,STATE_NAME,STATE_CODE,CITY_CD,CITY_NAME,DISTRICT_CODE,DISTRICT_NAME
110084,2000000033,Delhi,DL,3000000760,Delhi,4000000040,North Delhi
110040,2000000033,Delhi,DL,3000000183,Delhi,4000000587,North West Delhi
110006,2000000033,Delhi,DL,3000000760,Delhi,4000000040,North Delhi
127025,2000000008,Haryana,HR,3000000177,Bhiwani,4000000190,Bhiwani
127114,2000000008,Haryana,HR,3000000177,Bhiwani,4000000190,Bhiwani
125104,2000000008,Haryana,HR,3000000219,Sirsa,4000000484,Sirsa
136130,2000000008,Haryana,HR,3000000402,Kurukshetra,4000000335,Kurukshetra
140133,2000000035,Chandigarh,CG,3000000500,Chandigarh,4000000266,Chandigarh
140301,2000000035,Chandigarh,CG,3000000500,Chandigarh,4000000266,Chandigarh
134113,2000000008,Haryana,HR,3000000704,Panchkula,4000000462,Panchkula
134116,2000000008,Haryana,HR,3000000704,Panchkula,4000000462,Panchkula
135103,2000000008,Haryana,HR,3000000903,Yamuna Nagar,4000000001,Yamuna Nagar
141010,2000000021,Punjab,PB,3000000964,Ludhiana,4000000002,Ludhiana
143102,2000000021,Punjab,PB,3000000860,Amritsar,4000000343,Amritsar
144409,2000000021,Punjab,PB,3000000861,Jalandhar,4000000202,Jalandhar
144803,2000000021,Punjab,PB,3000000885,Kapurthala,4000000257,Kapurthala
144007,2000000021,Punjab,PB,3000000861,Jalandhar,4000000202,Jalandhar
144533,2000000021,Punjab,PB,3000001026,Nawanshahr,4000000435,Nawanshahr
147003,2000000021,Punjab,PB,3000000173,Patiala,4000000147,Patiala
147101,2000000021,Punjab,PB,3000000173,Patiala,4000000147,Patiala
152026,2000000021,Punjab,PB,3000000965,Muktsar,4000000368,Muktsar
171007,2000000009,Himachal Pradesh,HP,3000000746,Shimla,4000000557,Shimla
176222,2000000009,Himachal Pradesh,HP,3000000390,Kangra,4000000463,Kangra
151209,2000000021,Punjab,PB,3000000076,Faridkot,4000000018,Faridkot
148103,2000000021,Punjab,PB,3000000146,Sangrur,4000000316,Sangrur
173202,2000000009,Himachal Pradesh,HP,3000000497,Solan,4000000134,Solan
176024,2000000009,Himachal Pradesh,HP,3000000390,Kangra,4000000463,Kangra
176002,2000000009,Himachal Pradesh,HP,3000000390,Kangra,4000000463,Kangra
174308,2000000009,Himachal Pradesh,HP,3000000866,Una,4000000415,Una
173217,2000000009,Himachal Pradesh,HP,3000000497,Solan,4000000134,Solan
151505,2000000021,Punjab,PB,3000000793,Mansa,4000000369,Mansa
171302,2000000009,Himachal Pradesh,HP,3000000719,Mandi,4000000049,Mandi
184203,2000000010,Jammu & Kashmir,JK,3000000397,Kathua,4000000287,Kathua
172105,2000000009,Himachal Pradesh,HP,3000000140,Kinnaur,4000000578,Kinnaur
176066,2000000009,Himachal Pradesh,HP,3000000390,Kangra,4000000463,Kangra
224207,2000000026,Uttar Pradesh,UP,3000000418,Faizabad,4000000437,Faizabad
230002,2000000026,Uttar Pradesh,UP,3000000928,Pratapgarh,4000000405,Pratapgarh
211002,2000000026,Uttar Pradesh,UP,3000000359,Allahabad,4000000452,Allahabad
221407,2000000026,Uttar Pradesh,UP,3000000455,Sant Ravidas Nagar,4000000192,Sant Ravidas Nagar
246127,2000000027,Uttarakhand,UA/UK,3000000203,Pauri Garhwal,4000000204,Pauri Garhwal
246129,2000000027,Uttarakhand,UA/UK,3000000203,Pauri Garhwal,4000000204,Pauri Garhwal
233300,2000000026,Uttar Pradesh,UP,3000000813,Ghazipur,4000000476,Ghazipur
233302,2000000026,Uttar Pradesh,UP,3000000813,Ghazipur,4000000476,Ghazipur
185135,2000000010,Jammu & Kashmir,JK,3000000100,Rajauri,4000000165,Rajauri
226003,2000000026,Uttar Pradesh,UP,3000000750,Lucknow,4000000386,Lucknow
233310,2000000026,Uttar Pradesh,UP,3000000813,Ghazipur,4000000476,Ghazipur
233311,2000000026,Uttar Pradesh,UP,3000000813,Ghazipur,4000000476,Ghazipur
207126,2000000026,Uttar Pradesh,UP,3000000566,Etah,4000000061,Etah
229211,2000000026,Uttar Pradesh,UP,3000000170,Raebareli,4000000453,Raebareli
231223,2000000026,Uttar Pradesh,UP,3000000529,Sonbhadra,4000000004,Sonbhadra
228171,2000000026,Uttar Pradesh,UP,3000000902,Sultanpur,4000000323,Sultanpur
225207,2000000026,Uttar Pradesh,UP,3000000858,Barabanki,4000000418,Barabanki
212212,2000000026,Uttar Pradesh,UP,3000000359,Allahabad,4000000452,Allahabad
221711,2000000026,Uttar Pradesh,UP,3000000670,Ballia,4000000155,Ballia
223225,2000000026,Uttar Pradesh,UP,3000000242,Azamgarh,4000000493,Azamgarh
206242,2000000026,Uttar Pradesh,UP,3000000986,Etawah,4000000610,Etawah
230403,2000000026,Uttar Pradesh,UP,3000000928,Pratapgarh,4000000405,Pratapgarh
210125,2000000026,Uttar Pradesh,UP,3000000959,Banda,4000000376,Banda
227308,2000000026,Uttar Pradesh,UP,3000000750,Lucknow,4000000386,Lucknow
230304,2000000026,Uttar Pradesh,UP,3000000928,Pratapgarh,4000000405,Pratapgarh
261202,2000000026,Uttar Pradesh,UP,3000000687,Sitapur,4000000547,Sitapur
202524,2000000026,Uttar Pradesh,UP,3000000957,Budaun,4000000522,Budaun
193402,2000000010,Jammu & Kashmir,JK,3000000190,Baramulla,4000000088,Baramulla
193411,2000000010,Jammu & Kashmir,JK,3000000160,Budgam,4000000393,Budgam
227305,2000000026,Uttar Pradesh,UP,3000000750,Lucknow,4000000386,Lucknow
191201,2000000010,Jammu & Kashmir,JK,3000000463,Srinagar,4000000181,Srinagar
212307,2000000026,Uttar Pradesh,UP,3000000359,Allahabad,4000000452,Allahabad
194101,2000000010,Jammu & Kashmir,JK,3000000895,Leh,4000000150,Leh
233221,2000000026,Uttar Pradesh,UP,3000000813,Ghazipur,4000000476,Ghazipur
241404,2000000026,Uttar Pradesh,UP,3000000908,Hardoi,4000000030,Hardoi
207250,2000000026,Uttar Pradesh,UP,3000000566,Etah,4000000061,Etah
192210,2000000010,Jammu & Kashmir,JK,3000000718,Ananthnag,4000000135,Ananthnag
180010,2000000010,Jammu & Kashmir,JK,3000000919,Jammu,4000000148,Jammu
160035,2000000035,Chandigarh,CG,3000000500,Chandigarh,4000000266,Chandigarh
175121,2000000009,Himachal Pradesh,HP,3000000719,Mandi,4000000049,Mandi
202122,2000000026,Uttar Pradesh,UP,3000000317,Aligarh,4000000182,Aligarh
221717,2000000026,Uttar Pradesh,UP,3000000670,Ballia,4000000155,Ballia
202415,2000000026,Uttar Pradesh,UP,3000000956,Moradabad,4000000019,Moradabad
284003,2000000026,Uttar Pradesh,UP,3000000937,Jhansi,4000000485,Jhansi
303904,2000000022,Rajasthan,RJ,3000001010,Jaipur,4000000166,Jaipur
271304,2000000026,Uttar Pradesh,UP,3000000762,Gonda,4000000306,Gonda
303807,2000000022,Rajasthan,RJ,3000001010,Jaipur,4000000166,Jaipur
251314,2000000026,Uttar Pradesh,UP,3000000257,Muzaffarnagar,4000000243,Muzaffarnagar
261403,2000000026,Uttar Pradesh,UP,3000000687,Sitapur,4000000547,Sitapur
263145,2000000027,Uttarakhand,UA/UK,3000000441,Udham Singh Nagar,4000000497,Udham Singh Nagar
272165,2000000026,Uttar Pradesh,UP,3000000690,Sant Kabir Nagar,4000000581,Sant Kabir Nagar
274402,2000000026,Uttar Pradesh,UP,3000000943,Kushinagar,4000000033,Kushinagar
271605,2000000026,Uttar Pradesh,UP,3000000809,Balrampur,4000000604,Balrampur
273008,2000000026,Uttar Pradesh,UP,3000000580,Gorakhpur,4000000454,Gorakhpur
303103,2000000022,Rajasthan,RJ,3000001010,Jaipur,4000000166,Jaipur
243641,2000000026,Uttar Pradesh,UP,3000000957,Budaun,4000000522,Budaun
273015,2000000026,Uttar Pradesh,UP,3000000580,Gorakhpur,4000000454,Gorakhpur
303325,2000000022,Rajasthan,RJ,3000000583,Dausa,4000000217,Dausa
244301,2000000026,Uttar Pradesh,UP,3000000956,Moradabad,4000000019,Moradabad
249131,2000000027,Uttarakhand,UA/UK,3000000857,Uttarkashi,4000000095,Uttarkashi
225413,2000000026,Uttar Pradesh,UP,3000000858,Barabanki,4000000418,Barabanki
262551,2000000027,Uttarakhand,UA/UK,3000000985,Pithoragarh,4000000031,Pithoragarh
250611,2000000026,Uttar Pradesh,UP,3000000061,Meerut,4000000137,Meerut
243401,2000000026,Uttar Pradesh,UP,3000000158,Bareilly,4000000225,Bareilly
210208,2000000026,Uttar Pradesh,UP,3000000959,Banda,4000000376,Banda
210128,2000000026,Uttar Pradesh,UP,3000000959,Banda,4000000376,Banda
246451,2000000027,Uttarakhand,UA/UK,3000000255,Chamoli,4000000546,Chamoli
246747,2000000026,Uttar Pradesh,UP,3000000408,Bijnor,4000000071,Bijnor
246728,2000000026,Uttar Pradesh,UP,3000000408,Bijnor,4000000071,Bijnor
229126,2000000026,Uttar Pradesh,UP,3000000170,Raebareli,4000000453,Raebareli
246155,2000000027,Uttarakhand,UA/UK,3000000203,Pauri Garhwal,4000000204,Pauri Garhwal
246168,2000000027,Uttarakhand,UA/UK,3000000203,Pauri Garhwal,4000000204,Pauri Garhwal
263678,2000000027,Uttarakhand,UA/UK,3000000790,Almora,4000000193,Almora
